id_data,data,ano,trimestre,mes,nome_mes,semana_ano,dia_semana,nome_dia,fim_semana
366,2023-01-01,2023,1,1,Janeiro,52,6,Domingo,1
367,2023-01-02,2023,1,1,Janeiro,1,0,Segunda,0
368,2023-01-03,2023,1,1,Janeiro,1,1,Terca,0
369,2023-01-04,2023,1,1,Janeiro,1,2,Quarta,0
370,2023-01-05,2023,1,1,Janeiro,1,3,Quinta,0
371,2023-01-06,2023,1,1,Janeiro,1,4,Sexta,0
372,2023-01-07,2023,1,1,Janeiro,1,5,Sabado,1
373,2023-01-08,2023,1,1,Janeiro,1,6,Domingo,1
374,2023-01-09,2023,1,1,Janeiro,2,0,Segunda,0
375,2023-01-10,2023,1,1,Janeiro,2,1,Terca,0
376,2023-01-11,2023,1,1,Janeiro,2,2,Quarta,0
377,2023-01-12,2023,1,1,Janeiro,2,3,Quinta,0
378,2023-01-13,2023,1,1,Janeiro,2,4,Sexta,0
379,2023-01-14,2023,1,1,Janeiro,2,5,Sabado,1
380,2023-01-15,2023,1,1,Janeiro,2,6,Domingo,1
381,2023-01-16,2023,1,1,Janeiro,3,0,Segunda,0
382,2023-01-17,2023,1,1,Janeiro,3,1,Terca,0
383,2023-01-18,2023,1,1,Janeiro,3,2,Quarta,0
384,2023-01-19,2023,1,1,Janeiro,3,3,Quinta,0
385,2023-01-20,2023,1,1,Janeiro,3,4,Sexta,0
386,2023-01-21,2023,1,1,Janeiro,3,5,Sabado,1
387,2023-01-22,2023,1,1,Janeiro,3,6,Domingo,1
388,2023-01-23,2023,1,1,Janeiro,4,0,Segunda,0
389,2023-01-24,2023,1,1,Janeiro,4,1,Terca,0
390,2023-01-25,2023,1,1,Janeiro,4,2,Quarta,0
391,2023-01-26,2023,1,1,Janeiro,4,3,Quinta,0
392,2023-01-27,2023,1,1,Janeiro,4,4,Sexta,0
393,2023-01-28,2023,1,1,Janeiro,4,5,Sabado,1
394,2023-01-29,2023,1,1,Janeiro,4,6,Domingo,1
395,2023-01-30,2023,1,1,Janeiro,5,0,Segunda,0
396,2023-01-31,2023,1,1,Janeiro,5,1,Terca,0
397,2023-02-01,2023,1,2,Fevereiro,5,2,Quarta,0
398,2023-02-02,2023,1,2,Fevereiro,5,3,Quinta,0
399,2023-02-03,2023,1,2,Fevereiro,5,4,Sexta,0
400,2023-02-04,2023,1,2,Fevereiro,5,5,Sabado,1
401,2023-02-05,2023,1,2,Fevereiro,5,6,Domingo,1
402,2023-02-06,2023,1,2,Fevereiro,6,0,Segunda,0
403,2023-02-07,2023,1,2,Fevereiro,6,1,Terca,0
404,2023-02-08,2023,1,2,Fevereiro,6,2,Quarta,0
405,2023-02-09,2023,1,2,Fevereiro,6,3,Quinta,0
406,2023-02-10,2023,1,2,Fevereiro,6,4,Sexta,0
407,2023-02-11,2023,1,2,Fevereiro,6,5,Sabado,1
408,2023-02-12,2023,1,2,Fevereiro,6,6,Domingo,1
409,2023-02-13,2023,1,2,Fevereiro,7,0,Segunda,0
410,2023-02-14,2023,1,2,Fevereiro,7,1,Terca,0
411,2023-02-15,2023,1,2,Fevereiro,7,2,Quarta,0
412,2023-02-16,2023,1,2,Fevereiro,7,3,Quinta,0
413,2023-02-17,2023,1,2,Fevereiro,7,4,Sexta,0
414,2023-02-18,2023,1,2,Fevereiro,7,5,Sabado,1
415,2023-02-19,2023,1,2,Fevereiro,7,6,Domingo,1
416,2023-02-20,2023,1,2,Fevereiro,8,0,Segunda,0
417,2023-02-21,2023,1,2,Fevereiro,8,1,Terca,0
418,2023-02-22,2023,1,2,Fevereiro,8,2,Quarta,0
419,2023-02-23,2023,1,2,Fevereiro,8,3,Quinta,0
420,2023-02-24,2023,1,2,Fevereiro,8,4,Sexta,0
421,2023-02-25,2023,1,2,Fevereiro,8,5,Sabado,1
422,2023-02-26,2023,1,2,Fevereiro,8,6,Domingo,1
423,2023-02-27,2023,1,2,Fevereiro,9,0,Segunda,0
424,2023-02-28,2023,1,2,Fevereiro,9,1,Terca,0
425,2023-03-01,2023,1,3,Marco,9,2,Quarta,0
426,2023-03-02,2023,1,3,Marco,9,3,Quinta,0
427,2023-03-03,2023,1,3,Marco,9,4,Sexta,0
